,candidate_id,rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
867,868,70,21,35,41,15,35,14,33,13,20,26,26,9,6,9,13,18,11,6,421,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,17,Female,No,VA,54
868,869,48,24,14,17,23,95,28,84,18,27,21,78,24,7,12,17,8,15,8,568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,MI,46
869,870,22,40,16,20,21,60,19,60,20,49,13,51,16,8,11,33,13,35,11,518,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,17,Female,No,CO,37
870,871,67,73,16,18,130,209,45,160,49,36,47,108,25,8,13,38,13,25,7,1087,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,16,Male,Yes,TX,34
871,872,18,53,16,12,16,62,21,43,17,46,13,36,14,6,9,30,10,15,8,445,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Male,Yes,FL,29
872,873,41,29,16,11,80,46,32,69,14,26,19,128,9,7,31,82,6,19,8,673,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,Yes,FL,30
873,874,24,48,20,17,26,102,25,54,20,23,18,38,25,7,12,47,11,13,11,541,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,16,Female,No,CA,53
874,875,22,25,22,65,18,99,103,88,57,29,35,51,26,8,8,21,105,13,18,813,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,No,TX,30
875,876,10,48,7,8,12,61,15,10,17,27,27,27,38,5,4,4,19,7,5,351,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,10,Male,Yes,MT,25
876,877,50,37,32,17,31,114,48,125,44,87,36,159,31,9,44,49,17,27,11,968,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,17,Female,No,CO,35
877,878,18,14,10,12,12,43,8,33,10,20,13,29,9,7,12,16,7,8,13,294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,Male,Yes,NE,38
878,879,24,28,20,21,28,20,20,50,30,19,17,28,59,9,13,18,11,23,11,449,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,13,Male,Yes,TX,27
879,880,16,11,8,11,8,29,10,37,16,29,24,73,8,5,6,13,6,8,5,323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,WA,28
880,881,12,13,12,24,12,13,13,7,12,13,20,10,8,13,8,9,6,9,6,220,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,13,Female,Yes,OR,28
881,882,24,41,15,40,28,2025,16,72,24,241,63,72,27,15,7,16,10,35,23,2794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Female,Yes,TX,34
882,883,24,23,11,10,16,53,15,44,45,32,18,61,14,6,16,17,9,9,6,429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,TX,54
883,884,31,22,77,21,19,95,20,71,23,33,22,50,14,6,13,16,12,24,9,578,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,LA,30
884,885,25,20,9,14,17,37,11,44,15,20,14,37,28,7,10,10,8,13,8,347,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,17,Female,No,CA,48
885,886,127,35,25,35,33,55,31,71,21,116,53,47,25,11,20,24,12,22,12,775,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,No,KY,35
886,887,11,14,10,11,10,218,13,32,12,24,10,25,8,5,10,16,6,7,5,447,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,KS,30
887,888,3,5,4,4,3,4,3,4,3,2,4,3,4,5,9,4,6,3,5,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,Female,Yes,FL,32
888,889,20,1185,5,16,9,11,17,23,147,14,4,13,7,6,8,5,9,5,8,1512,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,9,Female,Yes,UT,30
889,890,35,10,8,9,10,185,8,10,64,11,9,7,7,137,7,14,5,7,6,549,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,16,Male,Yes,GA,45
890,891,39,19,12,22,21,45,12,54,13,27,18,32,10,7,12,20,8,13,14,398,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,NC,47
891,892,23,21,11,10,15,29,10,40,12,23,11,19,13,5,10,10,10,8,6,286,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Female,No,CA,48
892,893,29,127,10,37,41,35,11,52,9,58,12,45,9,3,12,19,10,31,62,612,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,17,Female,Yes,AR,36
893,894,20,23,14,14,14,45,12,39,11,34,16,25,8,5,8,29,7,8,5,337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,Yes,FL,20
894,895,32,20,29,21,24,72,20,74,21,40,29,79,26,8,25,20,16,16,11,583,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,No,VA,55
895,896,18,13,16,21,16,16,22,36,26,11,11,36,10,5,7,11,6,16,9,306,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,12,Male,Yes,FL,34
